team,team_zh,country_code,group,nationality,player_name,jersey_number,position,date_of_birth,age,height_cm,preferred_foot,market_value_eur_m,club,national_caps,national_goals,goal_rate,fifa_ranking,elo,data_source,source_url,squad_status
South Africa,南非,RSA,Group A,南非,Tshepang Moremi,8,Forward,"October 2, 2000",25,,N/A,,Orlando Pirates,9,1,0.111,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Lyle Foster,9,Forward,"September 3, 2000",25,,N/A,,Burnley,26,10,0.385,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Relebohile Mofokeng,10,Forward,"October 23, 2004",21,,N/A,,Orlando Pirates,12,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Themba Zwane,11,Midfielder,"August 3, 1989",36,,N/A,,Mamelodi Sundowns,53,12,0.226,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Thapelo Maseko,12,Forward,"November 11, 2003",22,,N/A,,AEL Limassol,9,1,0.111,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Sphephelo Sithole,13,Midfielder,"March 3, 1999",27,,N/A,,Tondela,27,1,0.037,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Mbekezeli Mbokazi,14,Defender,"September 19, 2005",20,,N/A,,Chicago Fire FC,10,1,0.1,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Iqraam Rayners,15,Forward,"December 19, 1995",30,,N/A,,Mamelodi Sundowns,13,4,0.308,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Sipho Chaine,16,Goalkeeper,"December 14, 1996",29,,N/A,,Orlando Pirates,3,0,0.0,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
South Africa,南非,RSA,Group A,南非,Evidence Makgopa,17,Forward,"June 5, 2000",26,,N/A,,Orlando Pirates,26,6,0.231,58.0,1545.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
